target	context	form	position	label
abnorm	Den grimme søster med hareskåret var ikke bare åndssvag, hun var også i videste forstand anatomisk abnorm	abnorm	(99, 105)	-1
abnorm	Det er nærmest abnormt, hvad der bruges — og altså opkræves — af statslige midler i Danmark	abnormt	(15, 22)	-1
accept	Intet er hidtil blevet gennemført i EF uden fransk accept	accept	(51, 57)	1
accept	Små børn skal have kærlighed og accept	accept	(32, 38)	1
accept	Der er aftagende accept af skilsmisse og utroskab, også blandt de yngre	accept	(17, 23)	1
acceptere	Big Bang-teorien er almindeligt accepteret blandt fysikere og astronomer	accepteret	(32, 42)	2
acceptere	[stewardessen havde glad] accepteret min invitation om at gå i byen et par dage senere	accepteret	(26, 36)	1
acceptere	Man skal være her [: på Bornholm] i 3 generationer, før man accepteres som bornholmer	accepteres	(60, 70)	2
adlyde	soldatens første pligt er at adlyde enhver lovlig ordre	adlyde	(29, 35)	1
afbryde	hun ved, at Jesper er en god lytter, der sjældent afbryder	afbryder	(50, 58)	-1
afbryde	Far ringede lige og afbrød mig i mit skriveri	afbrød	(20, 26)	-1
afdragsfri	Ved etablering af nyt landbrug .. kan landmanden få lavtforrentede statslån, der er afdragsfri de første fire år	afdragsfri	(84, 94)	-1
affære	På baggrund af blandt andet .. affæren omkring 6. Juli Banken stiller SF i næste uge forslag om en stramning af loven om revision	affæren	(31, 38)	-1
affære	Weekendens TV blev en broget affære, hvor vi blev præsenteret for et varieret udbud af programmer	affære	(29, 35)	-1
affære	Hvad skal jeg gøre? Jeg tror, at Peter har en affære med en af pigerne på kontoret	affære	(46, 52)	-1
afgift	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	afgifterne	(33, 43)	-1
afgift	Hvis der betales med et Dankort, betaler .. du som kunde en afgift, og derudover betaler sælgeren en noget større afgift	afgift	(60, 66)	-1
afgift	Palle Simonsens forslag om afgifter på dåbsattester m.v. falder ikke i god jord	afgifter	(27, 35)	-1
afgift	parkeringsbøderne, som ikke er bøder men afgifter, er opkrævet helt i overensstemmelse med reglerne	afgifter	(41, 49)	-1
afgift	Eneforfattere og bidragydere til billedbøger modtager afgift fra både pulje 1 og 2	afgift	(54, 60)	-1
afhænde	en ældre frisørmester i Søborg ville afhænde sin forretning	afhænde	(37, 44)	-1
afhængig	Han kan intet selv. Han er totalt afhængig af andre mennesker	afhængig	(34, 42)	-1
afhængig	regeringen har ikke gjort sig afhængig af Fremskridtspartiets stemmer	afhængig	(30, 38)	-2
afhængig	Mange begynder at drikke i 12-13-års alderen og bliver afhængige, når de er 15-16	afhængige	(55, 64)	-2
aflyse	al flyvning [blev] aflyst på grund af snestorm	aflyst	(19, 25)	-1
aflyse	han har måttet aflyse sin skiferie	aflyse	(15, 21)	1
afstand	brugen af fagsprog skaber en afstand mellem læge og patient	afstand	(29, 36)	-1
afstemning	Der er et godt kraftoverskud i Tempra'en med de 115 hk, og afstemningen af affjedringen virker umiddelbart fornuftig	afstemningen	(59, 71)	1
afsætte	hun står fast på, at Venstres top kunne have valgt en smidigere måde at afsætte hende fra ministerposten på	afsætte	(72, 79)	1
aftagelig	hun var iført blå cowboybukser, cowboyskjorte og en mørkerød jakke med grå, aftagelige ærmer	aftagelige	(76, 86)	2
aftale	Jeg havde en aftale med ham om, at han skulle vente på mig	aftale	(13, 19)	-2
aftale	Regeringen må leve op til aftalen om at sikre praktikplads til alle unge	aftalen	(26, 33)	-2
agt	når han som ministerpræsident for Bayern behandlede sin forbundspræsident med passende agt, kunne de både tale sammen og spøge sammen	agt	(87, 90)	-2
akavet	Engang var han en fantastisk danser. Smidig. Præcis. Adræt. Det er han ikke mere. Han er 71 år. Slidgigt har gjort gangen besværlig og akavet	akavet	(135, 141)	1
akavet	de mere lødige udsendelser kommer på de mest akavede tidspunkter, enten kl. 18 eller kl. 23	akavede	(45, 52)	1
akavet	Han anede ikke, hvor han skulle gøre af sig selv, og situationen var helt akavet	akavet	(74, 80)	1
aktiv	Mange unge fædre deltager som en selvfølge i alt husligt og er aktive i arbejdet omkring børnene	aktive	(63, 69)	1
aktiv	[Han] nøjedes ikke med rollen som tilskuer. Han var selv en drivkraft og tog aktivt del i udviklingen	aktivt	(77, 83)	-2
aktiv	Brenaa blev instruktør, da han i 1955 trak sig tilbage som aktiv danser	aktiv	(59, 64)	-2
aktiv	Der er flere forskellige sportsanlæg i byen, som kan bruges, hvis man ønsker en aktiv ferie	aktiv	(80, 85)	-1
alarm	Efter alarmen kl. 9.12 var røgdykkere fra Kalundborg Brandvæsen .. fremme ved det brændende skib kl. 9.40	alarmen	(6, 13)	-1
alarm	jeg [lod] foretage et mammografi af mit bryst. Der var ingen knude og ingen grund til alarm, og så var jeg jo glad	alarm	(86, 91)	1
alarm	Da alarmen hylede, tog voldsmanden flugten med hendes taske, smykker og penge	alarmen	(3, 10)	1
alarm	Når alarmen har lydt er ambulancerne i gennemsnit fremme på fire et halvt minut	alarmen	(4, 11)	-1
alvor	købmanden gik med værdig alvor rundt og kontrollerede, at alt gik rigtigt til og var til kundernes tilfredshed	alvor	(25, 30)	-1
alvor	man behøver aldrig være bange for at blive tynget til jorden af for megen alvor hos Shakespeare	alvor	(74, 79)	-1
alvorlig	dansk landbrug har et alvorligt økonomisk problem	alvorligt	(22, 31)	2
alvorlig	Tarmslyng er en alvorlig, akut kirurgisk sygdom	alvorlig	(16, 24)	2
amatør	Han forsikrede så, at de ikke ville bære sig ad som idioter eller amatører	amatører	(66, 74)	-1
anerkendelse	i sin samtid nød han betydelig anerkendelse som komponist	anerkendelse	(31, 43)	-1
anerkendelse	rødvinen har høstet megen anerkendelse i form af en medaljeregn i Frankrig og udland	anerkendelse	(26, 38)	-1
angreb	Georg Metz retter usædvanlig hårdt angreb mod sin tidligere arbejdsplads	angreb	(35, 41)	-1
angreb	den svenske valuta [har] været udsat for jævnlige angreb	angreb	(50, 56)	-2
angreb	Ovennævnte forsikringer omfatter .. dækning for angreb af svampe og insekter	angreb	(48, 54)	-2
angreb	Roma [fik] i næste angreb tid og plads til at producere kampens første mål	angreb	(19, 25)	-1
anke	Og en anden anke: Ved lav fart høres benzinpumpens tikken fra tankområdet alt for tydeligt	anke	(12, 16)	-1
anklage	For en kærlig moder er en søns anklage det allerværste der kan hænde	anklage	(31, 38)	1
anklage	anklagen blev frafaldet, da intet kunne bevises	anklagen	(0, 8)	1
anklage	Tyskland udstedte fredag en arrestordre mod den aldrende Honecker. Anklagen lyder på manddrab	Anklagen	(67, 75)	2
anledning	lidt senere finder jeg en anledning til at forlade stedet	anledning	(26, 35)	2
anledning	Haverne, de små rækkehushaver, er en anledning til fællesskab	anledning	(37, 46)	-2
anseelse	indbyggerne .. kunne regne med at blive dømt efter loven uden hensyn til den enkeltes anseelse	anseelse	(86, 94)	-2
anseelse	Mange lader deres liv styre af ting og jagten på anseelse	anseelse	(49, 57)	-1
anspændt	Da vi fik vores første, var jeg nok mere anspændt, end da vi ventede Martin	anspændt	(41, 49)	2
anspændt	Forholdet mellem Slovenien og Serbien er .. anspændt	anspændt	(44, 52)	2
anstalt	I årevis har Dan ligget fastspændt på en anstalt for åndssvage — sløvet med store mængder beroligende medicin	anstalt	(41, 48)	1
ansvarlig	Man skaber ikke ansvarlige bilister ved at føre usaglig hadpropaganda eller ved at oprette et "Big Brother" overvågningssystem	ansvarlige	(16, 26)	1
ansvarlig	jeg har rost kommunerne for en ansvarlig udgiftspolitik i de sidste par år	ansvarlig	(31, 40)	1
appetit	Gunillas appetit på mænd var almindeligt kendt	appetit	(9, 16)	2
appetit	koncertens gode start havde vakt publikums appetit efter flere .. musikalske lækkerier	appetit	(43, 50)	2
appetitlig	[Maden] skal være appetitligt anrettet og velsmagende	appetitligt	(18, 29)	-2
appetitlig	jeg får øje på to piger, veninder, begge rimeligt appetitlige	appetitlige	(50, 61)	-2
appetitlig	Bliver din såkaldt barske indkomstpolitik appetitlig for arbejdsmarkedets parter .. hvis ikke de ved, hvad der vil ske på skatteområdet?	appetitlig	(42, 52)	1
arrogant	Hans tillukkede, lidt sky væsen og en urokkelig tro på sig selv får ham til at virke arrogant	arrogant	(85, 93)	1
arrogant	Manges retsfølelse er .. blevet krænket ved denne arrogante afvisning af bekymrede naboer	arrogante	(50, 59)	-2
autoritet	hun var nødt til at sætte al sin autoritet ind på den rette opdragelse af sønnen	autoritet	(33, 42)	-2
autoritet	hans salmedigtning [var] præget af stor autoritet og selvstændighed	autoritet	(40, 49)	-2
bagdel	Da han var lille, var det ingen bagdel at vokse op bag en politiverdens mure	bagdel	(32, 38)	1
bagdel	kirken har bagdele, men også fordele	bagdele	(11, 18)	1
bagside	Stilfærdigt viser Millás [: i romanen] bagsider af det sociale og politiske liv i dagens Spanien	bagsider	(39, 47)	1
balance	den der ro, der er herude på landet, det giver altså en fantastisk indre balance	balance	(73, 80)	1
balance	det var først, da sangstjernen rundede de 50, at han følte, at han hvilede i sig selv og fandt den rigtige balance mellem job og privatliv	balance	(107, 114)	1
balance	den nødvendige balance mellem kulturarv og satsning på ny og levende kunst er med den seneste sparerunde, finanslov og favorisering af provinsen mere end nogensinde truet	balance	(15, 22)	1
balance	medierne skal finde en balance mellem at give en magtfuld leder den opmærksomhed, som jobbet berettiger til, og samtidig give plads til andre stemmer og begivenheder	balance	(23, 30)	-2
balance	Hun har fundet en god balance mellem det private og professionelle	balance	(22, 29)	-2
balance	Hvis ikke du finder en balance mellem ansvar og fornøjelser, kan du trygt regne med, at partner eller ægtefælle gør vrøvl	balance	(23, 30)	-2
bange	De store morede sig over den bange dreng, der langsomt nærmede sig	bange	(29, 34)	-2
bange	Der er ikke noget at være bange for, sagde Louis. "Hun gør ikke noget. Kom nu!"	bange	(26, 31)	-2
bange	Der må være ét eller andet, der går din mand frygtelig på. Kan han være bange for firmaets fremtid?	bange	(72, 77)	-3
bange	Aviskioskejerne behøver ikke at se på fremtiden med bange anelser. Salget går strygende	bange	(52, 57)	-1
bange	Tinkes glade ansigt lukkede sig og fik i stedet et bange udtryk	bange	(51, 56)	-1
bank	Det er glædeligt, at der nu bliver gjort lidt ved de disciplinære forhold i skolerne, så elever, som giver lærerne bank, kan bortvises	bank	(115, 119)	-1
barnlig	Du ser så dejligt barnlig og uskyldig ud, med dine blå blå øjne og dine lyse lyse krøller	barnlig	(18, 25)	1
barnlig	Under træets vidunderlige duftende blomster leger de to børn deres barnlige, lykkelige lege	barnlige	(67, 75)	2
barnlig	Sig mig en gang, er du ikke lidt barnlig sådan som du går op i børneudsendelser?	barnlig	(33, 40)	2
bearbejde	Den dybe sorg og smerte valgte [hun] at bearbejde ved at skrive sig igennem den svære tid	bearbejde	(40, 49)	2
bedre	Måske nogen kan huske, at Socialdemokratiet i Krags periode "ville gøre gode tider bedre"	bedre	(83, 88)	2
bedre	han kan bedre lide at tænke end at læse	bedre	(8, 13)	2
bedre	Når I har lært hinanden bedre at kende tager klassen — gerne i oktober — på en hyttetur med to lærere	bedre	(24, 29)	-2
bedre	To dage efter fødslen var benet stadig ikke blevet bedre	bedre	(51, 56)	-2
bedre	På bedre dage — om foråret eller sommeren — åbnede han døren ud til gaden	bedre	(3, 8)	-1
bedrøvet	Jan har altid været kendt for at være en stille, indelukket og lidt bedrøvet type	bedrøvet	(68, 76)	-1
bedrøvet	For første gang så hun mormors øjne stråle uden det lille bedrøvede glimt	bedrøvede	(58, 67)	1
befale	Rejs dig op! befalede han	befalede	(13, 21)	1
befale	Han skræmte mig med sin høje og befalende stemme	befalende	(32, 41)	1
befri	Demonstranterne stormede offentlige bygninger og befriede fanger fra fængslerne	befriede	(49, 57)	1
befri	På et tidspunkt overvejede jeg .. at befri cyklen og mig selv for den tunge last af grøntsager	befri	(37, 42)	-1
befri	Efter Moskva var det altid befriende og betryggende at sætte foden på dansk jord igen	befriende	(27, 36)	-1
begivenhed	museumsindvielsen var en celeber begivenhed	begivenhed	(33, 43)	-1
begravelse	Dem der er med til begravelsen har blomster med, som bliver lagt på kisten og på gulvet ved siden af	begravelsen	(19, 30)	-1
begravelse	Det, der betyder så meget i denne sammenhæng er ikke, om forældrene vælger begravelse som jordfæstelse eller brænding	begravelse	(75, 85)	-1
begravelse	Begravelse det er som regel en lille smule dyrere end bisættelser	Begravelse	(0, 10)	-1
begrænse	Kina og Indien har radikalt sat ind på at begrænse børnetallet	begrænse	(42, 50)	2
begrænse	Et af projektets mål er at begrænse affaldsmængden med 75 procent	begrænse	(27, 35)	2
begrænse	Mit handicap begrænser mig ikke på nogen måde	begrænser	(13, 22)	2
behagelig	Jørn Træholts dybe, behagelige stemme er kendt af enhver Radioavis-lytter	behagelige	(20, 30)	1
behagelig	Her sidder vi to så og slænger os behageligt i den store stue, hva'!	behageligt	(34, 44)	1
behagelig	Lærerne synes, Peter er en meget behagelig samtalepartner, han mener nemlig altid det samme som de gør	behagelig	(33, 42)	1
behov	Hun havde ikke noget behov for at komme brasende og blande sig i andre menneskers liv	behov	(21, 26)	1
bekendtskab	Enlig dame søger bekendtskab med moden mand	bekendtskab	(17, 28)	-3
bekendtskab	en Tokyo-familie af hendes bekendtskab havde inviteret hende med til Kyoto	bekendtskab	(27, 38)	-3
bekendtskab	Et tidligere bekendtskab dukker op, og det kan måske føre til fornyet romantik	bekendtskab	(13, 24)	2
bekrige	Fem forskellige revolutionsgrupper bekriger hinanden og regeringen i El Salvador	bekriger	(35, 43)	2
bekrige	De ansatte har samme interesser som virksomheden. De skal ikke bekrige hinanden	bekrige	(63, 70)	2
bekvem	Førerpladsen er særdeles velindrettet med alle betjeningsgreb inden for bekvem rækkevidde	bekvem	(72, 78)	2
bekvem	Lillian anbragte et par puder bag ryggen af sin mor, så hun kunne sidde bekvemt	bekvemt	(72, 79)	1
belønning	indførelse af mere fleksible lønsystemer med mulighed for belønning af særlig indsats	belønning	(58, 67)	1
belønning	hofdamer .. har modtaget dronningens aflagte kjoler som belønning eller gave	belønning	(56, 65)	-2
beredskab	Han har ikke et naturligt psykisk beredskab mod angst	beredskab	(34, 43)	1
beredskab	en ny 130 timers uddannelse af kommunalt værnepligtige [sikrer] at kommunernes krigsmæssige beredskab forbliver troværdigt	beredskab	(92, 101)	1
beregning	[Vor humane etik] er kun en overflade, der dækker over egoisme, kold beregning, karrierejag og prestigekampe	beregning	(69, 78)	-2
besidde	tænk om man kunne ende med at besidde fast ejendom	besidde	(30, 37)	-2
besidde	Sovjet besidder enorme lagre af kemisk ammunition	besidder	(7, 15)	1
besidde	Hun begyndte en aften at antyde i forblommede vendinger, at Berthe havde villet besidde hende	besidde	(80, 87)	-2
besidde	Suzanne .. står i skyggen af sin egocentrerede, beskyttende og besiddende mor	besiddende	(63, 73)	-2
besiddelse	Blandt den danske kongemagts besiddelser var hertugdømmerne Slesvig og Holstein	besiddelser	(29, 40)	-2
besiddelse	Forelskelse og besiddelse er ét for den autoritære	besiddelse	(15, 25)	-2
beskidt	De milliarder af dollars, der er tjent [: på våbensalg] er lige så beskidte som narkopenge	beskidte	(67, 75)	-2
beskidt	åh, hvor føler jeg mig dog beskidt og ussel og nedrig	beskidt	(27, 34)	-2
beskidt	Allerede på andendagen kom overlægen: "Det er min beskidte pligt at spørge — må vi fjerne hendes nyrer?"	beskidte	(50, 58)	1
beskidt	I [udsendelsen] bragte man en sang med det mest sjofle og beskidte sprogbrug, jeg nogen sinde har hørt i æteren	beskidte	(58, 66)	1
beskidt	Det er koncerterne, man taler om .. En forrygende opvisning i det mest bedårende beskidte rockmusik	beskidte	(81, 89)	1
beskytte	Et åbent, sårbart demokrati som det danske bliver man jo nødt til at beskytte	beskytte	(69, 77)	1
beskytte	Loven beskytter den svage. Hvor ingen lov er, har den stærke retten	beskytter	(6, 15)	1
beskytte	olien [havde] udover duften også den virkning, at den beskyttede huden mod den stærke sol	beskyttede	(54, 64)	1
beskytte	med paraplyen prøvede [hun] at beskytte sin lyserøde dragt mod regnen	beskytte	(31, 39)	1
beskyttelse	Dec. 1983 blev Arafat og hans styrker evakueret fra Libanon under USA's og FN's beskyttelse	beskyttelse	(80, 91)	-1
beskyttelse	en blød farvet dagcreme, som yder stor beskyttelse mod lysets skadelige stråler samt kulde, vind og snavs	beskyttelse	(39, 50)	-1
beskyttelse	Beskyttelsen af fotografiske billeder er i øjeblikket hjemlet i en særskilt lov	Beskyttelsen	(0, 12)	-2
beslaglægge	Politiet beslaglagde et kæmpemæssigt våbenarsenal hos forbryderne	beslaglagde	(9, 20)	-2
beslaglægge	tyskerne beslaglagde hotellet i det tidlige forår 1945	beslaglagde	(9, 20)	-1
besættelse	Samtidig fandt besættelsen af Norge sted. Den skulle ikke gå helt så glat som besættelsen af Danmark	besættelsen	(15, 26)	-1
besættelse	En af parolerne i retsopgøret i Danmark efter besættelsen var "udrensning til top og til bunds"	besættelsen	(46, 57)	-1
besættelse	For at forhindre en ny besættelse på Vesterbro greb politiet i går ind mod en demonstration af bz-typer ud for den gamle bz-fæstning Sorte Hest	besættelse	(23, 33)	2
betale	englænderne måtte betale deres pris for disse økonomiske og politiske fordele	betale	(18, 24)	2
betale	han har betalt for sit oprør, bl.a. med en tur i fængslet	betalt	(8, 14)	2
betyde	Min familie betyder alt for mig	betyder	(12, 19)	2
betyde	penge havde jo aldrig betydet noget videre for Sylvia	betydet	(22, 29)	2
betydning	Platons betydning for eftertiden kan næppe overvurderes	betydning	(8, 17)	2
betydning	Kosten har stor betydning for gigtramte mennesker	betydning	(16, 25)	3
betænke	i årets løb har [de private fonde] betænkt foreningen med adskillige tusinde kroner	betænkt	(35, 42)	3
betænke	vi mennesker [blev desværre ikke] betænkt med vinger	betænkt	(34, 41)	3
beundre	Man må beundre Anker Jørgensen. For hans mod, for hans flid .. og for hans måde at være på som menneske	beundre	(7, 14)	3
beundre	Romerne beundrede de græske skulpturer og samlede på dem ved private indkøb	beundrede	(8, 17)	1
beundre	Hvem har du fået den fine BMX cykel af? To knægte står og beundrer vidunderet	beundrer	(58, 66)	1
